,daily.returns,daily.returns o,1+r,1+r O,cumulative returns,cumulative returnsO,
248,0.01525298,0.013679483,1.01525298,1.013679483,74%,72%,
249,-0.001285396,-0.000670203,0.998714604,0.999329797,74%,72%,
250,0.002485224,0.002174814,1.002485224,1.002174814,74%,72%,
251,0.007522113,0.007032595,1.007522113,1.007032595,76%,74%,
252,0.005272127,0.004942739,1.005272127,1.004942739,76%,74%,
253,0.015148308,0.021487143,1.015148308,1.021487143,79%,78%,
254,0.000625182,0.00038142,1.000625182,1.00038142,79%,78%,
255,0.018765181,0.023975035,1.018765181,1.023975035,83%,82%,
256,-0.009220717,-0.008356869,0.990779283,0.991643131,81%,81%,
257,0.003473152,0.005404609,1.003473152,1.005404609,82%,82%,
258,-0.008655667,-0.007754607,0.991344333,0.992245393,80%,81%,
259,0.002791572,0.00030059,1.002791572,1.00030059,80%,81%,
260,-0.010623322,-0.009726338,0.989376678,0.990273662,79%,79%,
261,-0.029600908,-0.034282679,0.970399092,0.965717321,73%,73%,
262,0.018644658,0.01687026,1.018644658,1.01687026,77%,76%,
263,0.0080971,0.006095928,1.0080971,1.006095928,78%,77%,
264,0.010417559,0.009603561,1.010417559,1.009603561,80%,78%,
265,-0.011031417,-0.011040976,0.988968583,0.988959024,78%,76%,
266,-0.013089724,-0.011519528,0.986910276,0.988480472,75%,74%,
267,0.00169296,0.004332582,1.00169296,1.004332582,76%,75%,
268,-0.00949451,-0.008826089,0.99050549,0.991173911,74%,74%,
269,-0.027983358,-0.032914396,0.972016642,0.967085604,69%,68%,
270,0.002076115,0.002085951,1.002076115,1.002085951,70%,68%,
271,0.021886253,0.027567608,1.021886253,1.027567608,73%,73%,
272,0.003794393,0.00375344,1.003794393,1.00375344,74%,74%,
273,0.03293971,0.033827534,1.03293971,1.033827534,80%,79%,
274,0.013455489,0.012208311,1.013455489,1.012208311,82%,82%,
275,0.02936308,0.025862711,1.02936308,1.025862711,87%,86%,
276,-0.007957498,-0.007125872,0.992042502,0.992874128,86%,85%,
277,0.009448651,0.010523268,1.009448651,1.010523268,88%,87%,
278,0.019723719,0.018143822,1.019723719,1.018143822,91%,90%,
279,0.000474372,-0.000434826,1.000474372,0.999565174,92%,90%,
280,-0.012630994,-0.011336696,0.987369006,0.988663304,89%,88%,
281,0.003905165,0.005525148,1.003905165,1.005525148,90%,89%,
282,-0.006234591,-0.005507308,0.993765409,0.994492692,89%,88%,
283,0.018885417,0.020089798,1.018885417,1.020089798,92%,92%,
284,0.020870824,0.019583615,1.020870824,1.019583615,96%,96%,
285,0.012777859,0.016442011,1.012777859,1.016442011,99%,99%,
286,0.001264887,0.00141974,1.001264887,1.00141974,99%,99%,
287,0.028747781,0.035670491,1.028747781,1.035670491,105%,106%,
288,-0.02837681,-0.025683274,0.97162319,0.974316726,99%,101%,
289,0.010696452,0.012859308,1.010696452,1.012859308,101%,103%,
290,0.010537562,0.009234919,1.010537562,1.009234919,103%,105%,
291,0.007201974,0.008142453,1.007201974,1.008142453,105%,107%,
292,0.012633258,0.011659434,1.012633258,1.011659434,107%,109%,
293,-0.024622905,-0.027026137,0.975377095,0.972973863,102%,104%,
294,-0.005856463,-0.005263932,0.994143537,0.994736068,101%,103%,
295,0.010562213,0.010829887,1.010562213,1.010829887,103%,105%,
296,0.021100811,0.018604227,1.021100811,1.018604227,107%,109%,
297,-0.005186722,-0.007593392,0.994813278,0.992406608,106%,107%,
298,-0.009669862,-0.008796698,0.990330138,0.991203302,104%,105%,
299,0.011672831,0.014357447,1.011672831,1.014357447,107%,108%,
300,-0.018040632,-0.016340505,0.981959368,0.983659495,103%,105%,
301,-0.018382349,-0.018981839,0.981617651,0.981018161,99%,101%,
302,0.003856072,0.003888335,1.003856072,1.003888335,100%,102%,
303,0.003373852,0.003244351,1.003373852,1.003244351,101%,102%,
304,0.001597997,0.001604023,1.001597997,1.001604023,101%,103%,
305,-0.009668133,-0.011774349,0.990331867,0.988225651,99%,100%,
306,-0.013234268,-0.012342643,0.986765732,0.987657357,96%,98%,
307,0.010602085,0.010727494,1.010602085,1.010727494,98%,100%,
308,0.011289712,0.010232821,1.011289712,1.010232821,101%,102%,
309,0.017689604,0.018439202,1.017689604,1.018439202,104%,106%,
310,0.030319824,0.027300481,1.030319824,1.027300481,110%,111%,
311,0.003463732,0.004205385,1.003463732,1.004205385,111%,112%,
312,0.030926207,0.027766655,1.030926207,1.027766655,118%,118%,
313,0.02484262,0.026874963,1.02484262,1.026874963,123%,124%,
314,0.013089848,0.011653291,1.013089848,1.011653291,126%,127%,
315,0.006188516,0.008273499,1.006188516,1.008273499,127%,128%,
316,-0.03015713,-0.027202031,0.96984287,0.972797969,121%,122%,
317,0.047850936,0.051378089,1.047850936,1.051378089,131%,134%,
318,-0.013830258,-0.012697704,0.986169742,0.987302296,128%,131%,
319,-0.001246131,-0.002432817,0.998753869,0.997567183,128%,130%,
320,-0.004268846,-0.003730156,0.995731154,0.996269844,127%,129%,
321,-0.010025406,-0.010684936,0.989974594,0.989315064,124%,127%,
322,0.004866732,0.004503203,1.004866732,1.004503203,125%,128%,
323,0.003736148,0.004142903,1.003736148,1.004142903,126%,129%,
324,0.000163906,-5.60858E-05,1.000163906,0.999943914,126%,129%,
325,0.012276369,0.013025043,1.012276369,1.013025043,129%,132%,
326,0.018051625,0.016222786,1.018051625,1.016222786,133%,136%,
327,-0.013250815,-0.013918345,0.986749185,0.986081655,130%,132%,
328,-0.005145455,-0.004451411,0.994854545,0.995548589,129%,131%,
329,0.022206909,0.025123074,1.022206909,1.025123074,134%,137%,
330,-0.002443696,-0.002178762,0.997556304,0.997821238,134%,137%,
331,0.012530533,0.014467539,1.012530533,1.014467539,136%,140%,
332,-0.005680078,-0.00478398,0.994319922,0.99521602,135%,139%,
333,-0.000834753,-0.000939988,0.999165247,0.999060012,135%,139%,
334,0.004487659,0.004294094,1.004487659,1.004294094,136%,140%,
335,0.00492064,0.004786393,1.00492064,1.004786393,137%,141%,
336,-0.006924836,-0.006193155,0.993075164,0.993806845,135%,139%,
337,-0.024505558,-0.028914676,0.975494442,0.971085324,130%,132%,
338,0.007356545,0.006838701,1.007356545,1.006838701,131%,134%,
339,0.013538943,0.01247482,1.013538943,1.01247482,135%,137%,
340,0.01520598,0.013777892,1.01520598,1.013777892,138%,140%,
341,0.011183192,0.010761313,1.011183192,1.010761313,141%,143%,
342,-0.002604191,-0.002011962,0.997395809,0.997988038,140%,142%,
343,0.030877423,0.032369344,1.030877423,1.032369344,148%,150%,
344,0.002979713,0.002781598,1.002979713,1.002781598,148%,151%,
345,0.048398768,0.041870895,1.048398768,1.041870895,160%,161%,
346,-0.009542572,-0.00844277,0.990457428,0.99155723,158%,159%,
347,0.000836809,-0.000329496,1.000836809,0.999670504,158%,159%,
348,-0.002290736,-0.002325943,0.997709264,0.997674057,157%,158%,
349,0.017782948,0.018400748,1.017782948,1.018400748,162%,163%,
350,0.008413657,0.007808318,1.008413657,1.007808318,164%,165%,
351,0.01646714,0.021147129,1.01646714,1.021147129,169%,171%,
352,0.021625563,0.01920996,1.021625563,1.01920996,174%,176%,
353,0.02843994,0.03449391,1.02843994,1.03449391,182%,185%,
354,-0.007923008,-0.006896735,0.992076992,0.993103265,180%,184%,
355,0.005076739,0.004806794,1.005076739,1.004806794,181%,185%,
356,0.001370066,0.00134362,1.001370066,1.00134362,182%,185%,
357,-0.001343733,-8.36215E-05,0.998656267,0.999916378,181%,185%,
358,0.007430545,0.007063055,1.007430545,1.007063055,183%,187%,
