,daily.returns O,daily.returns,,1+r ,1+r O,cumulative returns,cumulative returns O,
268,-0.025835606,-0.018998771,,0.981001229,0.974164394,22.23%,34.94%,
269,-0.005899777,-0.013912296,,0.986087704,0.994100223,20.53%,34.14%,
270,0.072615676,0.052939875,,1.052939875,1.072615676,26.91%,43.88%,
271,0.006488677,0.017291408,,1.017291408,1.006488677,29.11%,44.82%,
272,0.005737365,0.004123465,,1.004123465,1.005737365,29.64%,45.65%,
273,0.001281249,0.003628181,,1.003628181,1.001281249,30.11%,45.83%,
274,0.00045932,0.000648842,,1.000648842,1.00045932,30.20%,45.90%,
275,0.013013399,0.017415911,,1.017415911,1.013013399,32.46%,47.80%,
276,-0.004403789,-0.003652898,,0.996347102,0.995596211,31.98%,47.15%,
277,0.002349146,0.008225776,,1.008225776,1.002349146,33.06%,47.49%,
278,0.009455419,0.007500799,,1.007500799,1.009455419,34.06%,48.89%,
279,0.000217496,0.000157064,,1.000157064,1.000217496,34.08%,48.92%,
280,0.009372207,0.006781983,,1.006781983,1.009372207,34.99%,50.32%,
281,0.002568777,0.000527085,,1.000527085,1.002568777,35.06%,50.70%,
282,-0.017881809,-0.012794593,,0.987205407,0.982118191,33.34%,48.01%,
283,-0.003684794,-0.0080675,,0.9919325,0.996315206,32.26%,47.46%,
284,-0.028019044,-0.020897257,,0.979102743,0.971980956,29.50%,43.33%,
285,-0.000195279,0.000771104,,1.000771104,0.999804721,29.60%,43.30%,
286,0.027019477,0.020730825,,1.020730825,1.027019477,32.28%,47.17%,
287,0.007870368,0.014136386,,1.014136386,1.007870368,34.15%,48.33%,
288,-0.055620905,-0.041175538,,0.958824462,0.944379095,28.63%,40.08%,
289,0.007591658,0.01172759,,1.01172759,1.007591658,30.14%,41.15%,
290,0.016521703,0.01167739,,1.01167739,1.016521703,31.66%,43.48%,
291,0.020719174,0.031450361,,1.031450361,1.020719174,35.80%,46.45%,
292,-0.020864655,-0.015281428,,0.984718572,0.979135345,33.72%,43.39%,
293,-0.006120701,-0.011146056,,0.988853944,0.993879299,32.23%,42.52%,
294,-0.004677048,-0.003282354,,0.996717646,0.995322952,31.80%,41.85%,
295,0.009005414,0.014099478,,1.014099478,1.009005414,33.66%,43.13%,
296,0.000103402,0.000339048,,1.000339048,1.000103402,33.70%,43.14%,
297,-0.005858172,-0.007925502,,0.992074498,0.994141828,32.64%,42.30%,
298,-0.017626268,-0.013031616,,0.986968384,0.982373732,30.91%,39.80%,
299,-0.000105651,-0.002114812,,0.997885188,0.999894349,30.64%,39.78%,
300,-0.013564812,-0.009569278,,0.990430722,0.986435188,29.39%,37.88%,
301,-0.009309559,-0.015547067,,0.984452933,0.990690441,27.37%,36.60%,
302,0.016610386,0.012661601,,1.012661601,1.016610386,28.99%,38.87%,
303,0.001153093,-0.002535102,,0.997464898,1.001153093,28.66%,39.03%,
304,0.013323754,0.00933654,,1.00933654,1.013323754,29.86%,40.88%,
305,-0.01020851,-0.015446678,,0.984553322,0.98979149,27.86%,39.44%,
306,-0.023337734,-0.017234066,,0.982765934,0.976662266,25.65%,36.19%,
307,0.011846441,0.016129504,,1.016129504,1.011846441,27.68%,37.80%,
308,0.03159034,0.022856881,,1.022856881,1.03159034,30.60%,42.16%,
309,-0.008892156,-0.006887739,,0.993112261,0.991107844,29.70%,40.89%,
310,0.004662069,0.003362963,,1.003362963,1.004662069,30.13%,41.55%,
311,-0.005615636,-0.011770761,,0.988229239,0.994384364,28.60%,40.75%,
312,-0.000148591,0.00020101,,1.00020101,0.999851409,28.63%,40.73%,
313,0.003501458,0.004525015,,1.004525015,1.003501458,29.21%,41.23%,
314,0.006751514,0.004454212,,1.004454212,1.006751514,29.79%,42.18%,
315,-0.002159089,-0.005105537,,0.994894463,0.997840911,29.12%,41.87%,
316,-0.050224908,-0.036903528,,0.963096472,0.949775092,24.36%,34.75%,
317,0.010659459,0.016017325,,1.016017325,1.010659459,26.35%,36.18%,
318,0.019745441,0.014476788,,1.014476788,1.019745441,28.18%,38.87%,
319,-0.000711124,-0.001664669,,0.998335331,0.999288876,27.97%,38.77%,
320,-0.024487032,-0.018260256,,0.981739744,0.975512968,25.63%,35.38%,
321,-0.000333724,0.003840971,,1.003840971,0.999666276,26.11%,35.33%,
322,0.006368255,0.005115494,,1.005115494,1.006368255,26.76%,36.19%,
323,0.000141204,-0.000700752,,0.999299248,1.000141204,26.67%,36.21%,
324,0.005540605,0.003993968,,1.003993968,1.005540605,27.17%,36.97%,
325,0.012957409,0.017251977,,1.017251977,1.012957409,29.37%,38.74%,
326,0.023153852,0.01690885,,1.01690885,1.023153852,31.56%,41.95%,
327,0.014880557,0.018404286,,1.018404286,1.014880557,33.98%,44.07%,
328,-0.03167145,-0.023021577,,0.976978423,0.96832855,30.89%,39.50%,
329,-0.003716181,-0.004186951,,0.995813049,0.996283819,30.34%,38.98%,
330,-0.013039496,-0.010143184,,0.989856816,0.986960504,29.02%,37.17%,
331,0.006990607,0.009536614,,1.009536614,1.006990607,30.25%,38.13%,
332,0.000916092,0.000572756,,1.000572756,1.000916092,30.33%,38.26%,
333,0.005482129,0.010672754,,1.010672754,1.005482129,31.72%,39.02%,
334,0.002346714,0.001641409,,1.001641409,1.002346714,31.93%,39.34%,
335,-0.004974416,-0.006585064,,0.993414936,0.995025584,31.07%,38.65%,
336,-0.011527819,-0.008586967,,0.991413033,0.988472181,29.94%,37.05%,
337,-0.001549299,-0.004878769,,0.995121231,0.998450701,29.31%,36.84%,
338,0.02753435,0.020518299,,1.020518299,1.02753435,31.96%,40.61%,
339,0.008493436,0.015055616,,1.015055616,1.008493436,33.95%,41.80%,
340,-0.009527454,-0.007174682,,0.992825318,0.990472546,32.98%,40.45%,
341,-0.005547892,-0.007044412,,0.992955588,0.994452108,32.05%,39.67%,
342,0.02068438,0.01582606,,1.01582606,1.02068438,34.14%,42.56%,
343,-0.001953546,-0.00215019,,0.99784981,0.998046454,33.85%,42.28%,
344,-0.001754964,-0.000409279,,0.999590721,0.998245036,33.79%,42.03%,
345,0.008262494,0.018442378,,1.018442378,1.008262494,36.26%,43.20%,
346,0.014315768,0.011988587,,1.011988587,1.014315768,37.90%,45.25%,
347,0.006761739,0.013335951,,1.013335951,1.006761739,39.73%,46.24%,
348,0.000511759,0.000388998,,1.000388998,1.000511759,39.79%,46.31%,
349,0.001417888,0.000430771,,1.000430771,1.001417888,39.85%,46.52%,
