,daily.returns,daily.returns O,1+r,1+r O,cumulative returns,cumulative returns O,,
247,-0.001041317,-0.000513769,0.998958683,0.999486231,0%,3%,,
248,-0.000291416,-0.000150138,0.999708584,0.999849862,0%,3%,,
249,0.003820592,0.002138713,1.003820592,1.002138713,1%,3%,,
250,0.000235022,0.000349401,1.000235022,1.000349401,1%,3%,,
251,0.01269099,0.016301519,1.01269099,1.016301519,2%,5%,,
252,0.000221274,0.000324766,1.000221274,1.000324766,2%,5%,,
253,-0.001634069,-0.00619752,0.998365931,0.99380248,2%,4%,,
254,-0.004384846,-0.004214112,0.995615154,0.995785888,1%,4%,,
255,0.015368138,0.019941238,1.015368138,1.019941238,3%,6%,,
256,0.003190865,0.003230877,1.003190865,1.003230877,3%,6%,,
257,-0.004848164,-0.00879705,0.995151836,0.99120295,3%,5%,,
258,0.004218326,0.004220201,1.004218326,1.004220201,3%,5%,,
259,0.010645436,0.01329247,1.010645436,1.01329247,4%,7%,,
260,-0.012177236,-0.011947643,0.987822764,0.988052357,3%,6%,,
261,-0.017753568,-0.00985718,0.982246432,0.99014282,1%,5%,,
262,0.011216246,0.011073957,1.011216246,1.011073957,2%,6%,,
263,-0.001967879,-0.002664988,0.998032121,0.997335012,2%,5%,,
264,-0.010949598,-0.010586607,0.989050402,0.989413393,1%,4%,,
265,0.001335627,0.007962435,1.001335627,1.007962435,1%,5%,,
266,-0.004948123,-0.004790675,0.995051877,0.995209325,1%,5%,,
267,-0.011880213,-0.018539196,0.988119787,0.981460804,-1%,3%,,
268,-0.009776326,-0.009818318,0.990223674,0.990181682,-1%,2%,,
269,0.00671395,-0.001315718,1.00671395,0.998684282,-1%,2%,,
270,0.006657742,0.006726983,1.006657742,1.006726983,0%,2%,,
271,0.014131307,0.023219174,1.014131307,1.023219174,1%,5%,,
272,0.015891691,0.015248914,1.015891691,1.015248914,3%,6%,,
273,0.007433169,0.00619079,1.007433169,1.00619079,4%,7%,,
274,0.000867664,0.000759792,1.000867664,1.000759792,4%,7%,,
275,0.000247917,0.004222261,1.000247917,1.004222261,4%,7%,,
276,-0.01934493,-0.018562111,0.98065507,0.981437889,2%,5%,,
277,0.001239658,0.003100341,1.001239658,1.003100341,2%,6%,,
278,0.009314611,0.009183684,1.009314611,1.009183684,3%,7%,,
279,-0.012979841,-0.016689592,0.987020159,0.983310408,1%,5%,,
280,-0.008081497,-0.007983196,0.991918503,0.992016804,1%,4%,,
281,0.004584251,0.001397758,1.004584251,1.001397758,1%,4%,,
282,-0.007609175,-0.007533263,0.992390825,0.992466737,0%,3%,,
283,0.01539576,0.016166952,1.01539576,1.016166952,2%,5%,,
284,-0.017568146,-0.016911408,0.982431854,0.983088592,0%,3%,,
285,0.007038619,0.001857621,1.007038619,1.001857621,1%,4%,,
286,0.002227305,0.002154322,1.002227305,1.002154322,1%,4%,,
287,0.013230524,0.016982007,1.013230524,1.016982007,2%,5%,,
288,-0.013416394,-0.012892799,0.986583606,0.987107201,1%,4%,,
289,0.011017783,0.006079668,1.011017783,1.006079668,2%,5%,,
290,0.01695426,0.016587217,1.01695426,1.016587217,4%,7%,,
291,0.011689382,0.011147085,1.011689382,1.011147085,5%,8%,,
292,-0.008988085,-0.008787879,0.991011915,0.991212121,4%,7%,,
293,-0.008797987,-0.010138113,0.991202013,0.989861887,3%,6%,,
294,0.00349369,0.003629809,1.00349369,1.003629809,4%,6%,,
295,-0.001675535,-0.009536001,0.998324465,0.990463999,3%,5%,,
296,0.005475435,0.005400027,1.005475435,1.005400027,4%,6%,,
297,0.002899607,0.003558913,1.002899607,1.003558913,4%,6%,,
298,-0.004425572,-0.004397124,0.995574428,0.995602876,4%,6%,,
299,-0.000597402,-0.00303421,0.999402598,0.99696579,4%,5%,,
300,-0.013666467,-0.013157735,0.986333533,0.986842265,2%,4%,,
301,-0.009501425,-0.007579837,0.990498575,0.992420163,1%,3%,,
302,0.000463031,0.0006649,1.000463031,1.0006649,1%,3%,,
303,0.00747678,0.010363322,1.00747678,1.010363322,2%,4%,,
304,-0.010567357,-0.010268769,0.989432643,0.989731231,1%,3%,,
305,-0.00740934,-0.004430914,0.99259066,0.995569086,0%,3%,,
306,-0.02307443,-0.022671655,0.97692557,0.977328345,-2%,0%,,
307,0.014549844,0.011787795,1.014549844,1.011787795,-1%,1%,,
308,0.016209393,0.015959893,1.016209393,1.015959893,1%,3%,,
309,0.004400242,0.005984761,1.004400242,1.005984761,1%,4%,,
310,0.013257507,0.013095986,1.013257507,1.013095986,3%,5%,,
311,-0.015155462,-0.015377104,0.984844538,0.984622896,1%,3%,,
312,0.008732729,0.008494978,1.008732729,1.008494978,2%,4%,,
313,0.003675739,0.001033494,1.003675739,1.001033494,3%,4%,,
314,0.011282718,0.010748281,1.011282718,1.010748281,4%,6%,,
315,0.020103217,0.016173097,1.020103217,1.016173097,6%,7%,,
316,-0.033103595,-0.032327413,0.966896405,0.967672587,2%,4%,,
317,0.006863391,0.002075328,1.006863391,1.002075328,3%,4%,,
318,0.009015948,0.008901428,1.009015948,1.008901428,4%,5%,,
319,0.006556372,0.008444917,1.006556372,1.008444917,5%,6%,,
320,-0.014920448,-0.014604047,0.985079552,0.985395953,3%,4%,,
321,-0.001124924,-0.002855063,0.998875076,0.997144937,3%,4%,,
322,-0.004790317,-0.004678809,0.995209683,0.995321191,2%,4%,,
323,-0.001287644,-0.000972958,0.998712356,0.999027042,2%,3%,,
324,0.009649638,0.009675539,1.009649638,1.009675539,3%,4%,,
325,0.008703808,0.009438227,1.008703808,1.009438227,4%,5%,,
326,0.010953743,0.010622506,1.010953743,1.010622506,5%,7%,,
327,-0.002831663,-0.002568143,0.997168337,0.997431857,5%,6%,,
328,0.001595732,0.001202426,1.001595732,1.001202426,5%,6%,,
329,0.005922935,0.005511007,1.005922935,1.005511007,6%,7%,,
330,-0.006616745,-0.006583393,0.993383255,0.993416607,5%,6%,,
331,0.012096881,0.023461557,1.012096881,1.023461557,6%,9%,,
332,-0.002648828,-0.002638364,0.997351172,0.997361636,6%,8%,,
333,0.010664601,0.01058661,1.010664601,1.01058661,7%,10%,,
334,0.025758501,0.025461973,1.025758501,1.025461973,10%,12%,,
335,0.01011574,0.020470147,1.01011574,1.020470147,11%,15%,,
336,-0.011178919,-0.011013846,0.988821081,0.988986154,10%,13%,,
337,-0.004502424,0.001766975,0.995497576,1.001766975,9%,14%,,
338,0.000653713,0.000676534,1.000653713,1.000676534,9%,14%,,
339,0.009923705,0.015280624,1.009923705,1.015280624,10%,15%,,
340,0.007215579,0.006877595,1.007215579,1.006877595,11%,16%,,
341,-0.013157212,-0.008268823,0.986842788,0.991731177,10%,15%,,
342,0.002375001,0.002293486,1.002375001,1.002293486,10%,16%,,
343,0.010199807,0.017858479,1.010199807,1.017858479,11%,18%,,
344,0.004895638,0.004743661,1.004895638,1.004743661,12%,18%,,
345,-0.000662759,-0.002109667,0.999337241,0.997890333,12%,18%,,
346,-0.011134359,-0.011155436,0.988865641,0.988844564,10%,17%,,
347,-0.000315046,-0.001920095,0.999684954,0.998079905,10%,16%,,
